"GKID";"vague";"version";"qstatus";"screenout";"rs1";"rs2";"rs3";"rs3rec";"rs4";"rs5";"rs6";"q1";"q2";"q3";"q4";"q5";"rs1a";"rs1b";"actq1";"actq2";"actq3";"actq4:1";"actq4:2";"actq4:3";"actq5";"actq6";"actq7";"actq8";"actq9[i1]";"actq9[i2]";"actq9[i3]";"actq9[i4]";"actq9[i5]";"actq9[i6]";"actq9[i7]";"actq9[i8]";"actq10:1";"actq10:2";"actq10:3";"CW_finishdate";"CW_finishtime";"CW_duration"
"e4q48368mv70";70;1;11;;;1;28;1;2;1;5;2;4;3;3;3;1;5;"Emmanuel Macron";"Les premiers impacts de la loi travail, et de celle concernant la sécurité sociale";2;3;2;;1;2;1;2;1;2;2;1;2;1;2;1;3;5;4;20171116;"100049";615
"w4k74368mv70";70;1;11;;;1;43;3;1;;;2;3;4;3;2;1;4;"Loi travail<LF>Contrat Airbus<LF>Emmanuel Macron";"Réforme taxe d'habitation";2;2;4;3;2;2;1;2;1;1;2;1;2;1;1;1;6;2;4;20171115;"184816";1953
"a4x56369mv70";70;1;11;;;2;37;2;1;;;3;3;3;2;3;1;4;"le président macron";"le président";1;1;6;3;2;2;1;1;1;1;3;3;3;1;1;1;3;;;20171115;"215501";1701
"w4k84372mv70";70;1;11;;;1;27;1;2;2;5;3;2;2;3;3;1;5;"macron";"macron";3;6;4;5;2;1;1;1;2;1;1;1;2;1;1;2;7;4;6;20171115;"084502";307
"y4s52362mv70";70;1;11;;;1;40;3;1;;;3;4;2;2;3;1;4;"Président Macron, Commandes records d'aéronefs, grèves contre la loi travail";"Macron, Trump, les négociations de sortie de l'Europe de l'Angleterre";2;2;3;4;2;2;2;2;1;2;2;1;2;1;1;2;6;7;4;20171116;"082016";759
"w4h52377mv70";70;1;11;;;1;46;3;1;;;3;4;4;3;3;1;5;"le 1er ministre, ";"le ministre de l'économie, le ministre de l'écologie";2;3;1;;1;1;2;2;2;2;1;1;1;1;1;3;5;3;7;20171115;"164919";452
"y4s76372mv70";70;1;11;;;1;30;2;2;4;1;3;3;2;2;3;1;5;"Macron";"Macron";2;2;3;1;1;1;1;1;2;2;2;2;2;2;2;2;8;5;;20171115;"112444";245
"a4a96373mv70";70;1;11;;;2;54;4;2;4;6;6;6;3;2;3;1;4;"?";"E Macron";2;1;3;4;2;2;2;2;1;1;3;1;3;1;1;3;7;1;6;20171114;"211758";431
"y4s74377mv70";70;1;11;;;2;28;1;2;3;1;2;4;2;3;3;1;5;"Macron et les start up";"Start up";3;6;1;5;1;1;2;2;2;2;1;1;1;1;2;2;3;4;6;20171115;"104615";298
"g4y94376mv70";70;1;11;;;2;56;4;2;1;6;5;2;4;3;4;1;3;"Les élections";"Macron";2;1;2;;1;2;1;3;1;2;2;1;2;1;1;1;7;6;;20171114;"203542";345
"m4t22352mv70";70;1;11;;;2;39;2;2;2;3;2;4;1;1;1;1;5;"Attentats";"Noël";1;3;;;2;1;2;1;1;1;3;1;1;1;1;1;5;6;3;20171116;"123049";238
"u4z54363mv70";70;1;11;;;2;47;3;2;4;6;4;3;3;2;2;1;5;"Loi travail - Macron";"Aides aux entreprises - Brexit";2;7;;;1;2;1;2;2;1;2;2;2;1;1;3;2;1;;20171116;"074023";271
"a4a94349mv70";70;1;11;;;2;53;4;2;1;1;4;2;3;2;3;1;5;"Rien de marquant sinon des promesses gouvernementales non tenues ou partiellement.";"Les décisions gouvernementales à venir.";3;5;;;2;1;3;3;1;1;3;3;3;1;3;3;3;1;6;20171116;"123719";341
"s4u26386mv70";70;1;11;;;2;43;3;1;;;4;2;4;3;3;1;4;"?";"?";2;2;;;2;2;1;2;1;1;1;2;3;3;1;3;1;2;6;20171114;"195132";312
"u4c28389mv70";70;1;11;;;1;45;3;2;4;1;2;4;4;3;3;1;5;"?";"Macron";2;1;2;6;1;1;1;2;2;2;2;1;2;2;1;2;7;4;;20171114;"191837";320
"m4t78365mv70";70;1;11;;;2;45;3;1;;;3;4;3;3;4;1;4;"Taxe d'habitation. ";"Je ne sais pas";3;3;4;2;2;3;2;2;3;1;1;1;3;1;1;3;7;;;20171115;"184139";522
"q4j82375mv70";70;1;11;;;1;52;4;1;;;4;4;3;2;3;1;4;"Emmanuel Macron";"Emmanuel Macron";2;6;2;;2;2;2;1;1;1;1;1;1;1;1;1;5;7;4;20171114;"232740";281
"m4t56365mv70";70;1;11;;;1;43;3;2;2;1;2;3;3;3;3;1;5;"brexit<LF>macron<LF>edouad philippe";"pas d'idee";2;5;2;;2;2;2;2;2;1;1;2;1;1;1;1;6;8;3;20171115;"224534";347
"s4u82345mv70";70;1;11;;;1;34;2;2;4;1;3;3;3;2;3;1;5;"macron";"macron";2;2;3;4;2;2;1;1;2;2;1;1;1;1;1;1;5;7;6;20171116;"150716";201
"w4k76348mv70";70;1;11;;;1;28;1;1;;;3;2;3;3;3;1;4;"emmanuel macron";"emmanuel macron";2;6;3;1;3;2;2;2;1;2;2;1;3;1;1;3;5;7;4;20171116;"183009";260
"m4t92375mv70";70;1;11;;;2;62;4;1;;;5;1;5;3;4;1;4;"ne sais pas";"je n'en sais rien";2;5;4;;4;2;2;2;2;3;3;1;1;1;1;2;5;7;8;20171114;"205026";341
"a4a62374mv70";70;1;11;;;2;39;2;2;4;4;3;3;3;3;3;1;5;"aucune";"je ne sais ps";2;3;1;;3;2;1;2;2;2;2;1;3;1;1;3;6;4;7;20171115;"125658";263
"q4j76346mv70";70;1;11;;;1;29;1;2;4;4;2;3;2;2;2;1;5;"Personne";"Trump";2;1;4;3;2;2;1;2;1;1;1;1;1;2;1;1;7;8;1;20171116;"191552";380
"w4h44368mv70";70;1;11;;;1;37;2;2;2;6;3;3;4;2;4;1;4;"rien";"les inégalités";2;5;4;;2;2;2;2;1;1;1;1;1;1;1;1;3;6;4;20171116;"101134";1271
"u4c86343mv70";70;1;11;;;1;28;1;2;4;1;3;2;3;2;4;1;5;"Aucun";"Aucun";2;4;5;;1;1;2;2;2;3;3;3;2;1;1;1;6;2;8;20171116;"155716";274
"s4r76369mv70";70;1;11;;;1;39;2;2;2;6;1;5;2;2;1;1;5;"lois travail<LF>Emmanuel macron";"Emmanuel macron<LF>lois sur la formation";2;3;2;4;2;2;1;2;1;2;2;1;2;1;1;1;4;6;1;20171115;"181804";260
"u4c62347mv70";70;1;11;;;2;63;4;1;;;3;3;4;2;4;1;4;"Suppression isf et réductions apl...";"Medef";2;2;5;6;2;2;2;2;1;1;1;1;1;1;1;2;1;7;3;20171116;"211648";428
"m4t96349mv70";70;1;11;;;2;56;4;2;2;1;2;3;2;2;3;1;5;"Donald TRUMP / Emmanuel MACRON / La chute boursière de SFR / Le nouveau parlement chinois";"La politique de Donald TRUMP / La Chine";1;3;5;2;2;2;1;1;2;2;2;2;3;1;2;3;3;2;6;20171116;"124544";394
"q4j86378mv70";70;1;11;;;2;37;2;1;;;3;4;3;3;3;1;4;"Le montant de la CSG<LF>E. Macron";"La mise en place de nouveaux contrats francs<LF>La CSG";2;5;4;3;2;2;2;1;1;2;2;1;1;2;1;1;5;4;7;20171114;"221958";300
"m4t96378mv70";70;1;11;;;1;39;2;2;1;6;3;4;3;2;2;1;5;"MACRON";"MACRON";2;1;;;2;2;1;1;2;2;2;1;2;1;1;1;6;1;8;20171116;"062112";770
"w4k46367mv70";70;1;11;;;2;32;2;1;;;4;3;3;2;3;1;4;"La coupe du monde";"Je ne sais pas";2;6;2;;3;2;3;1;2;2;2;2;1;1;1;2;5;8;6;20171116;"104439";1003
"m4t98343mv70";70;1;11;;;2;39;2;2;1;1;3;2;3;3;3;1;5;"Rien nous avons un président aussi minable que ses prédécesseurs!";"Rien!";2;4;;;2;2;2;2;2;2;2;2;1;1;1;3;7;8;6;20171116;"132152";228
"c4f96377mv70";70;1;11;;;1;56;4;1;;;2;3;4;3;3;1;4;"Sortie de la grande Bretagne de l Europe<LF>Confiance des investisseurs en hausse<LF>Légère reprise de l emploi<LF>Emmanuel Macron,Donald Trump...";"Emmanuel Macron <LF>Là Cop 22 si positiv";2;5;4;6;2;2;2;2;1;1;1;1;1;1;1;1;5;4;6;20171114;"204311";937
"s4u38384mv70";70;1;11;;;1;42;3;2;1;3;2;3;3;3;3;1;5;"macron";"macron";2;4;;;2;3;2;2;1;3;1;3;3;2;1;1;3;;;20171114;"190142";277
"e4n42366mv70";70;1;11;;;1;37;2;2;4;1;3;3;3;3;3;1;5;"Aucun";"aucun";3;7;;;3;2;2;2;3;2;2;1;1;3;1;3;4;5;6;20171116;"110111";286
"m4w88374mv70";70;1;11;;;2;28;1;2;3;3;2;2;2;2;2;1;5;"rien de particulier";"je ne sais ppas";3;8;;;4;3;3;3;3;3;3;3;3;3;3;3;4;;;20171115;"074015";1415
"w4h52363mv70";70;1;11;;;1;36;2;1;;;1;5;1;3;1;1;4;"Macron ";"Macron ";2;4;1;2;2;2;1;1;1;2;3;3;1;1;3;1;4;1;5;20171115;"232745";285
"c4f86374mv70";70;1;11;;;1;25;1;1;;;2;4;2;3;2;1;4;"Emmanuel Macron";"Emmanuel Macron";2;2;3;;2;2;2;2;1;1;1;1;1;1;1;1;2;3;1;20171115;"072106";240
"g4v92377mv70";70;1;11;;;2;40;3;2;4;3;4;2;4;2;1;1;5;"Macron";"Macron";2;6;;;2;2;1;2;1;3;3;1;3;1;1;1;4;6;7;20171116;"072606";263
"u4c92343mv70";70;1;11;;;1;59;4;1;;;5;1;5;3;4;1;4;"Gréves contre les ordonnances sur le code du travail.<LF>diminution des APL.<LF>CSG en hausse.<LF>Report de la diminution de taxe d'habitation.<LF>JL Mélenchon<LF>Trump";"Martinez<LF>Macron";2;5;4;;2;2;1;2;2;1;1;1;1;1;1;1;4;8;7;20171116;"132437";379
"w4h58374mv70";70;1;11;;;1;60;4;2;1;6;4;2;4;2;3;1;5;"Corée / USA";"Trump";2;1;4;3;2;2;1;2;2;1;2;1;2;1;1;1;2;4;7;20171115;"172823";452
"u4c86372mv70";70;1;11;;;2;39;2;2;1;6;4;3;4;3;3;1;5;"aucun";"aucun";3;4;;;3;2;1;2;2;2;2;3;3;1;1;3;7;;;20171115;"090646";214
"y4p88378mv70";70;1;11;;;1;38;2;2;2;1;4;2;4;3;4;1;5;"Macron avec ses réformes débiles qui favorisent les riches!";"comment prédire l'avenir?";2;4;;;3;1;2;2;2;2;2;1;1;1;1;1;8;6;;20171114;"215658";303
"y4s98373mv70";70;1;11;;;1;37;2;2;4;5;4;1;4;2;3;1;5;"BREXIT, baisse du baril de petrole, ";"coupe du monde , uberisation de la societe ,";2;4;;;2;2;2;2;2;2;2;1;2;1;1;1;6;4;7;20171114;"212651";658
"y4p78375mv70";70;1;11;;;1;32;2;2;1;1;4;2;2;3;2;1;5;"Je ne sais pas";"Je ne sais pas";1;1;5;2;2;1;2;2;1;1;1;1;1;1;1;1;3;;;20171115;"110706";1217
